# "FRPline","FRPsample","FRPlats","FRPlons","FRPT21","FRPT31","FRPMeanT21","FRPMeanT31","FRPMeanDT","FRPMADT21","FRPMADT31","FRP_MAD_DT","FRPpower","FRP_AdjCloud","FRP_AdjWater","FRP_NumValid","FRP_confidence"
1.498000000000000000e+03,6.100000000000000000e+02,6.537077331542968750e+01,-1.468780059814453125e+02,3.223373843437992718e+02,2.994537950761379648e+02,3.038307575908584681e+02,2.984086424774760644e+02,5.422115113382330875e+00,5.505257999917459344e+00,3.231806835386264343e+00,2.325512816853910536e+00,1.906266259123958307e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.100000000000000000e+01,6.325147690079570140e+01
1.499000000000000000e+03,6.100000000000000000e+02,6.536217498779296875e+01,-1.468851776123046875e+02,3.359854880466521649e+02,3.030408282015328609e+02,3.066970537774930108e+02,2.996778421955037288e+02,7.019211581989214466e+00,6.142387905789286506e+00,3.201784931870179207e+00,3.404038203374312843e+00,3.650249603319065983e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.200000000000000000e+01,7.676175584279478414e+01
1.500000000000000000e+03,6.170000000000000000e+02,6.533466339111328125e+01,-1.467526092529296875e+02,3.288641220953646211e+02,3.050664821549260068e+02,3.132379911398259082e+02,3.039151108231633316e+02,9.322880316662503830e+00,3.590214350524002285e+00,2.552732795368200414e+00,3.061902566220939370e+00,1.915347921884720961e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.200000000000000000e+01,7.371481580862983662e+01
1.500000000000000000e+03,6.310000000000000000e+02,6.529332733154296875e+01,-1.464641418457031250e+02,3.369676096282282174e+02,2.943912785907691614e+02,3.057351205742884872e+02,2.905191441079852552e+02,1.521597646630310763e+01,5.042989226326024976e+00,3.306510991571026903e+00,3.306209856703247851e+00,3.901077108423902473e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+01,8.371829364877663693e+01
1.501000000000000000e+03,6.050000000000000000e+02,6.536123657226562500e+01,-1.470087738037109375e+02,3.117512204997405547e+02,2.993429530194903805e+02,3.012247127070003785e+02,2.974272876069258018e+02,3.797425100074659277e+00,1.148433667839805716e+00,7.874750071783916949e-01,4.081489823194699995e-01,9.303661394655016181e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.200000000000000000e+01,5.665573988949010698e+01
