FP_line,FP_sample,FP_latitude,FP_longitude,FP_T21,FP_T31,FP_MeanT21,FP_MeanT31,FP_MeanDT,FP_MAD_T21,FP_MAD_T31,FP_MAD_DT,FP_power,FP_AdjCloud,FP_AdjWater,FP_NumValid,FP_confidence
1297,561,67.2195,-146.395,328.959,304.288,310.461,303.144,7.31718,4.17552,2.25632,3.40594,23.11,0,0,21,64
1297,612,67.0626,-145.252,337.345,304.219,310.637,304.004,6.63279,6.23972,4.0694,2.61275,35.6769,0,0,17,74
1297,622,67.0312,-145.032,348.034,301.858,306.019,300.658,5.36116,6.3926,3.83964,2.62387,60.6688,0,0,20,94
1298,555,67.2287,-146.539,345.988,304.904,307.761,301.955,5.80597,6.47859,4.4908,2.50095,57.0654,0,0,19,93
1298,561,67.2107,-146.403,336.765,305.202,310.253,303.875,6.37768,2.9283,1.82938,2.07397,36.19,0,0,21,88
1298,611,67.0571,-145.282,351.656,304.028,310.215,303.472,6.74252,7.49966,4.38552,3.40958,65.239,0,0,16,93
1298,612,67.054,-145.26,342.445,309.129,313.317,305.536,7.78083,6.28587,4.2484,2.68102,42.3802,0,0,16,81
1298,622,67.0227,-145.04,327.29,307.271,308.743,302.962,5.7818,6.17901,5.08007,1.84424,21.5306,0,0,20,17
1299,555,67.22,-146.546,357.879,302.076,307.533,300.529,7.00436,7.02318,3.75749,3.76867,86.4114,0,0,20,99
1299,556,67.217,-146.524,330.51,306.456,309.499,301.847,7.65176,5.12536,3.1933,3.34917,26.574,0,0,20,60
1299,611,67.0486,-145.29,340.969,306.218,312.062,305.043,7.01844,7.76032,4.79669,2.96363,40.8635,0,0,15,68
1300,610,67.0449,-145.325,352.692,305.408,312.124,304.401,7.72307,9.88717,4.97733,4.90984,65.8222,0,0,15,79
1301,609,67.0394,-145.355,340.618,303.251,309.392,303.011,6.38029,8.61454,4.32711,4.28742,42.8743,0,0,20,66
1301,610,67.0363,-145.333,362.934,312.075,311.92,304.504,7.41625,9.02472,4.80288,4.25785,93.1848,0,0,20,97
1302,567,67.1603,-146.302,319.127,304.634,311.051,303.345,7.70622,2.50095,1.47018,1.51514,9.02602,0,0,21,35
1302,572,67.1451,-146.189,339.436,302.738,309.928,301.897,8.03079,3.63333,3.56095,2.14416,41.0727,0,0,15,89
1302,573,67.142,-146.166,343.013,304.749,308.499,300.534,7.96502,4.58831,3.1558,2.42982,49.3805,0,0,16,92
