# "FRPline","FRPsample","FRPlats","FRPlons","FRPT21","FRPT31","FRPMeanT21","FRPMeanT31","FRPMeanDT","FRPMADT21","FRPMADT31","FRP_MAD_DT","FRPpower","FRP_AdjCloud","FRP_AdjWater","FRP_NumValid","FRP_confidence"
1.498000000000000000e+03,6.100000000000000000e+02,6.537077331542968750e+01,-1.468780059814453125e+02,3.217271728515625000e+02,2.985617065429687500e+02,3.032128295898437500e+02,2.975327453613281250e+02,5.680117607116699219e+00,5.508165836334228516e+00,3.172619104385375977e+00,2.380691766738891602e+00,1.881086300758866159e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.100000000000000000e+01,6.260759686450400352e+01
1.499000000000000000e+03,6.100000000000000000e+02,6.536217498779296875e+01,-1.468851776123046875e+02,3.344694824218750000e+02,3.020825500488281250e+02,3.060807800292968750e+02,2.987796630859375000e+02,7.301114082336425781e+00,6.145527362823486328e+00,3.143205165863037109e+00,3.449126482009887695e+00,3.454060592338554869e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.600000000000000000e+01,7.496244563242923675e+01
1.500000000000000000e+03,6.170000000000000000e+02,6.533466339111328125e+01,-1.467526092529296875e+02,3.273501281738281250e+02,3.040692138671875000e+02,3.126249694824218750e+02,3.029388427734375000e+02,9.686132431030273438e+00,3.591484785079956055e+00,2.503749608993530273e+00,3.064969539642333984e+00,1.762700699973214213e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.400000000000000000e+01,7.086403481245820046e+01
1.500000000000000000e+03,6.310000000000000000e+02,6.529332733154296875e+01,-1.464641418457031250e+02,3.354513854980468750e+02,2.935864868164062500e+02,3.051184997558593750e+02,2.897742309570312500e+02,1.534422397613525391e+01,5.045580863952636719e+00,3.254370212554931641e+00,3.294584989547729492e+00,3.698519803117341098e+01,2.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,8.287325832959631100e+01
1.501000000000000000e+03,6.050000000000000000e+02,6.536123657226562500e+01,-1.470087738037109375e+02,3.111379089355468750e+02,2.984528503417968750e+02,3.006057128906250000e+02,2.965708312988281250e+02,4.034899711608886719e+00,1.149257302284240723e+00,7.738258838653564453e-01,4.210973083972930908e-01,9.178575434263535726e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.200000000000000000e+01,5.197532942454364502e+01
